label	category	extruder	key	type	name	rated_id
Build Plate Temperature	Material		material_bed_temperature	parameter	material_bed_temperature	
Printing Temperature	Material	Extruder 1	material_print_temperature	parameter	material_print_temperature	
Print Speed	Speed	Extruder 1	speed_print	parameter	speed_print	
			material_type	env_influence	material_type	
			material_producer	env_influence	material_producer	
			material_color	env_influence	material_color	
Generate Support	Support		support_enable	parameter	support_enable	
			humidity	env_influence	humidity	
			temperature	env_influence	temperature	
Support Placement	Support		support_type	parameter	support_type	
Layer Height	Quality		layer_height	parameter	layer_height	
Initial Printing Temperature	Material	Extruder 1	material_initial_print_temperature	parameter	material_initial_print_temperature	
Final Printing Temperature	Material	Extruder 1	material_final_print_temperature	parameter	material_final_print_temperature	
			overall_ok	qual_influence	overall_ok	890
			stringing	qual_influence	stringing	891
			line_misalignment	qual_influence	line_misalignment	898
			gaps	qual_influence	gaps	898
			layer_separation	qual_influence	layer_separation	898
			over_extrusion	qual_influence	over_extrusion	898
Retraction Distance	Travel	Extruder 1	retraction_amount	parameter	retraction_amount	
			poor_bridging	qual_influence	poor_bridging	902
Minimum Extrusion Distance Window	Travel	Extruder 1	retraction_extrusion_window	parameter	retraction_extrusion_window	
Maximum Retraction Count	Travel	Extruder 1	retraction_count_max	parameter	retraction_count_max	
Build Plate Adhesion Type	Build Plate Adhesion		adhesion_type	parameter	adhesion_type	
			layer_misalignment	qual_influence	layer_misalignment	919
			burning	qual_influence	burning	919
Tree Support	Experimental		support_tree_enable	parameter	support_tree_enable	
Retraction Speed	Travel	Extruder 1	retraction_speed	parameter	retraction_speed	
			blobs	qual_influence	blobs	921
			under_extrusion	qual_influence	under_extrusion	923
Retraction Minimum Travel	Travel	Extruder 1	retraction_min_travel	parameter	retraction_min_travel	
Top/Bottom Speed	Speed	Extruder 1	speed_topbottom	parameter	speed_topbottom	
Travel Speed	Speed	Extruder 1	speed_travel	parameter	speed_travel	
Enable Print Cooling	Cooling	Extruder 1	cool_fan_enabled	parameter	cool_fan_enabled	
			warping	qual_influence	warping	932
Tree Support Branch Angle	Experimental	Extruder 1	support_tree_angle	parameter	support_tree_angle	
Printing Temperature Initial Layer	Material	Extruder 1	material_print_temperature_layer_0	parameter	material_print_temperature_layer_0	
Initial Layer Speed	Speed	Extruder 1	speed_layer_0	parameter	speed_layer_0	
			not_labelable	qual_influence	not_labelable	944
			lost_adhesion	qual_influence	lost_adhesion	944
Tree Support Branch Diameter Angle	Experimental	Extruder 1	support_tree_branch_diameter_angle	parameter	support_tree_branch_diameter_angle	
Tree Support Collision Resolution	Experimental	Extruder 1	support_tree_collision_resolution	parameter	support_tree_collision_resolution	
Infill Density	Infill	Extruder 1	infill_sparse_density	parameter	infill_sparse_density	
Small Feature Speed	Experimental	Extruder 1	small_feature_speed_factor	parameter	small_feature_speed_factor	
Initial Layer Print Speed	Speed	Extruder 1	speed_print_layer_0	parameter	speed_print_layer_0	
Support Z Distance	Support	Extruder 1	support_z_distance	parameter	support_z_distance	
Minimum Support X/Y Distance	Support	Extruder 1	support_xy_distance_overhang	parameter	support_xy_distance_overhang	
Regular Fan Speed at Height	Cooling	Extruder 1	cool_fan_full_at_height	parameter	cool_fan_full_at_height	
Enable Ironing	Shell	Extruder 1	ironing_enabled	parameter	ironing_enabled	
Iron Only Highest Layer	Shell	Extruder 1	ironing_only_highest_layer	parameter	ironing_only_highest_layer	
Extra Infill Wall Count	Infill	Extruder 1	infill_wall_line_count	parameter	infill_wall_line_count	
Build Plate Temperature Initial Layer	Material		material_bed_temperature_layer_0	parameter	material_bed_temperature_layer_0	
Enable Bridge Settings	Experimental		bridge_settings_enabled	parameter	bridge_settings_enabled	
